repeat,repeat_seed,fold,algorithm,class,recall
3,44,3,k-NN,DERMASON,0.918194640338505
3,44,3,k-NN,HOROZ,0.9455958549222798
3,44,3,k-NN,SEKER,0.9358024691358025
3,44,3,k-NN,SIRA,0.8994307400379506
3,44,3,Decision Tree,BARBUNYA,0.9056603773584906
3,44,3,Decision Tree,BOMBAY,0.9903846153846154
3,44,3,Decision Tree,CALI,0.901840490797546
3,44,3,Decision Tree,DERMASON,0.9055007052186178
3,44,3,Decision Tree,HOROZ,0.9222797927461139
3,44,3,Decision Tree,SEKER,0.9358024691358025
3,44,3,Decision Tree,SIRA,0.8709677419354839
3,44,3,RBF SVM,BARBUNYA,0.9433962264150944
3,44,3,RBF SVM,BOMBAY,1.0
3,44,3,RBF SVM,CALI,0.9355828220858896
3,44,3,RBF SVM,DERMASON,0.926657263751763
3,44,3,RBF SVM,HOROZ,0.9455958549222798
3,44,3,RBF SVM,SEKER,0.9530864197530864
3,44,3,RBF SVM,SIRA,0.8956356736242884
3,44,4,Logistic Regression,BARBUNYA,0.909433962264151
3,44,4,Logistic Regression,BOMBAY,0.9903846153846154
3,44,4,Logistic Regression,CALI,0.950920245398773
3,44,4,Logistic Regression,DERMASON,0.8942172073342737
3,44,4,Logistic Regression,HOROZ,0.9533678756476683
3,44,4,Logistic Regression,SEKER,0.9530864197530864
3,44,4,Logistic Regression,SIRA,0.8690702087286527
3,44,4,k-NN,BARBUNYA,0.9018867924528302
3,44,4,k-NN,BOMBAY,1.0
3,44,4,k-NN,CALI,0.9631901840490797
3,44,4,k-NN,DERMASON,0.9040902679830748
3,44,4,k-NN,HOROZ,0.9507772020725389
3,44,4,k-NN,SEKER,0.9530864197530864
3,44,4,k-NN,SIRA,0.8614800759013282
3,44,4,Decision Tree,BARBUNYA,0.8641509433962264
3,44,4,Decision Tree,BOMBAY,1.0
3,44,4,Decision Tree,CALI,0.9386503067484663
3,44,4,Decision Tree,DERMASON,0.8942172073342737
3,44,4,Decision Tree,HOROZ,0.9248704663212435
3,44,4,Decision Tree,SEKER,0.928395061728395
3,44,4,Decision Tree,SIRA,0.8481973434535104
3,44,4,RBF SVM,BARBUNYA,0.9169811320754717
3,44,4,RBF SVM,BOMBAY,1.0
3,44,4,RBF SVM,CALI,0.9539877300613497
3,44,4,RBF SVM,DERMASON,0.9167842031029619
3,44,4,RBF SVM,HOROZ,0.9559585492227979
3,44,4,RBF SVM,SEKER,0.9530864197530864
3,44,4,RBF SVM,SIRA,0.8614800759013282
3,44,5,Logistic Regression,BARBUNYA,0.9166666666666666
3,44,5,Logistic Regression,BOMBAY,1.0
3,44,5,Logistic Regression,CALI,0.9570552147239264
3,44,5,Logistic Regression,DERMASON,0.92524682651622
3,44,5,Logistic Regression,HOROZ,0.9428571428571428
3,44,5,Logistic Regression,SEKER,0.945679012345679
3,44,5,Logistic Regression,SIRA,0.8693181818181818
3,44,5,k-NN,BARBUNYA,0.9053030303030303
3,44,5,k-NN,BOMBAY,1.0
3,44,5,k-NN,CALI,0.9723926380368099
3,44,5,k-NN,DERMASON,0.9351198871650211
3,44,5,k-NN,HOROZ,0.9298701298701298
3,44,5,k-NN,SEKER,0.9308641975308642
3,44,5,k-NN,SIRA,0.8674242424242424
3,44,5,Decision Tree,BARBUNYA,0.9053030303030303
3,44,5,Decision Tree,BOMBAY,1.0
3,44,5,Decision Tree,CALI,0.9171779141104295
3,44,5,Decision Tree,DERMASON,0.9097320169252469
3,44,5,Decision Tree,HOROZ,0.9168831168831169
3,44,5,Decision Tree,SEKER,0.9481481481481482
3,44,5,Decision Tree,SIRA,0.8598484848484849
3,44,5,RBF SVM,BARBUNYA,0.9393939393939394
3,44,5,RBF SVM,BOMBAY,1.0
3,44,5,RBF SVM,CALI,0.9754601226993865
3,44,5,RBF SVM,DERMASON,0.9435825105782792
3,44,5,RBF SVM,HOROZ,0.9454545454545454
3,44,5,RBF SVM,SEKER,0.9481481481481482
3,44,5,RBF SVM,SIRA,0.8674242424242424
